Word/Phrase,Meaning,Usage in Sentence
Egemenlik,Opposition,"Egemenlik, günümüz siyasetinde bir dönüm noktasıdır."
Bağımsızlık,Economic policy,"Bağımsızlık, demokrasinin işleyişinde kritik bir rol oynar."
Demokrasi,Opposition,Demokrasi üzerine yoğun tartışmalar yaşanmaktadır.
Hukukun üstünlüğü,Constitution,"Hukukun üstünlüğü, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
İnsan hakları,Opposition,İnsan hakları kavramı modern siyaset biliminin temelini oluşturur.
Anayasa,Election,Anayasa üzerine yoğun tartışmalar yaşanmaktadır.
Özgürlük,Sovereignty,Özgürlük konusunda yapılan reformlar geniş yankı uyandırdı.
Siyaset,Bureaucracy,"Siyaset, günümüz siyasetinde bir dönüm noktasıdır."
Diplomasi,Constitutional amendment,"Diplomasi, demokrasinin işleyişinde kritik bir rol oynar."
Uluslararası ilişkiler,Ruling party,"Uluslararası ilişkiler perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Meclis,Parliamentary system,"Meclis, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Reform,Local government,"Reform, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Muhalefet,Rule of law,"Muhalefet perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
İktidar,Executive,"İktidar, günümüz siyasetinde bir dönüm noktasıdır."
Seçim,Rule of law,"Seçim, demokrasinin işleyişinde kritik bir rol oynar."
Koalisyon,Local government,Koalisyon üzerine yoğun tartışmalar yaşanmaktadır.
Halk egemenliği,National interests,Halk egemenliği üzerine yoğun tartışmalar yaşanmaktadır.
Yasama,Constitution,"Yasama, demokrasinin işleyişinde kritik bir rol oynar."
Yürütme,Civil society,Yürütme konusunda yapılan reformlar geniş yankı uyandırdı.
Yargı,National interests,"Yargı, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Propaganda,Coalition,Propaganda konusunda yapılan reformlar geniş yankı uyandırdı.
Bürokrasi,Pluralism,Bir toplumun Bürokrasi ilkelerine bağlı olması önemlidir.
Ekonomi politikası,International relations,Ekonomi politikası üzerine yoğun tartışmalar yaşanmaktadır.
Yerel yönetim,Democracy,Yerel yönetim kavramı modern siyaset biliminin temelini oluşturur.
Ulusal güvenlik,Civil society,"Ulusal güvenlik, demokrasinin işleyişinde kritik bir rol oynar."
Anayasa değişikliği,Constitution,Anayasa değişikliği üzerine yoğun tartışmalar yaşanmaktadır.
Parlamento sistemi,Rule of law,Parlamento sistemi kavramı modern siyaset biliminin temelini oluşturur.
Siyasi kriz,Freedom,Siyasi kriz kavramı modern siyaset biliminin temelini oluşturur.
Parti disiplini,Party discipline,Parti disiplini konusunda yapılan reformlar geniş yankı uyandırdı.
Ulusal çıkarlar,Civil society,Bir toplumun Ulusal çıkarlar ilkelerine bağlı olması önemlidir.
Kamuoyu,Legislation,"Kamuoyu, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Devlet politikası,Rule of law,Devlet politikası konusunda yapılan reformlar geniş yankı uyandırdı.
Sivil toplum,Ruling party,Sivil toplum üzerine yoğun tartışmalar yaşanmaktadır.
Yolsuzluk,Parliamentary system,Yolsuzluk kavramı modern siyaset biliminin temelini oluşturur.
Çoğulculuk,Corruption,Çoğulculuk kavramı modern siyaset biliminin temelini oluşturur.
Temsili demokrasi,Constitution,"Temsili demokrasi, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Egemenlik,Bureaucracy,Bir toplumun Egemenlik ilkelerine bağlı olması önemlidir.
Bağımsızlık,Diplomacy,Bağımsızlık üzerine yoğun tartışmalar yaşanmaktadır.
Demokrasi,Constitutional amendment,"Demokrasi perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Hukukun üstünlüğü,Opposition,"Hukukun üstünlüğü perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
İnsan hakları,Independence,İnsan hakları üzerine yoğun tartışmalar yaşanmaktadır.
Anayasa,Rule of law,Anayasa üzerine yoğun tartışmalar yaşanmaktadır.
Özgürlük,Local government,"Özgürlük, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Siyaset,Economic policy,"Siyaset, demokrasinin işleyişinde kritik bir rol oynar."
Diplomasi,Public opinion,"Diplomasi, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Uluslararası ilişkiler,National interests,Uluslararası ilişkiler kavramı modern siyaset biliminin temelini oluşturur.
Meclis,Reform,Meclis konusunda yapılan reformlar geniş yankı uyandırdı.
Reform,Popular sovereignty,Reform kavramı modern siyaset biliminin temelini oluşturur.
Muhalefet,Human rights,"Muhalefet, demokrasinin işleyişinde kritik bir rol oynar."
İktidar,Freedom,İktidar kavramı modern siyaset biliminin temelini oluşturur.
Seçim,Corruption,"Seçim perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Koalisyon,National interests,Koalisyon konusunda yapılan reformlar geniş yankı uyandırdı.
Halk egemenliği,Legislation,"Halk egemenliği perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Yasama,Sovereignty,"Yasama perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Yürütme,Freedom,"Yürütme, günümüz siyasetinde bir dönüm noktasıdır."
Yargı,Civil society,Yargı kavramı modern siyaset biliminin temelini oluşturur.
Propaganda,Parliamentary system,Propaganda üzerine yoğun tartışmalar yaşanmaktadır.
Bürokrasi,Pluralism,Bir toplumun Bürokrasi ilkelerine bağlı olması önemlidir.
Ekonomi politikası,Politics,"Ekonomi politikası perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Yerel yönetim,Political crisis,Yerel yönetim üzerine yoğun tartışmalar yaşanmaktadır.
Ulusal güvenlik,Human rights,"Ulusal güvenlik, günümüz siyasetinde bir dönüm noktasıdır."
Anayasa değişikliği,Independence,Anayasa değişikliği üzerine yoğun tartışmalar yaşanmaktadır.
Parlamento sistemi,State policy,Parlamento sistemi kavramı modern siyaset biliminin temelini oluşturur.
Siyasi kriz,Political crisis,Bir toplumun Siyasi kriz ilkelerine bağlı olması önemlidir.
Parti disiplini,Economic policy,"Parti disiplini perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Ulusal çıkarlar,Freedom,"Ulusal çıkarlar perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Kamuoyu,Human rights,Kamuoyu üzerine yoğun tartışmalar yaşanmaktadır.
Devlet politikası,Civil society,"Devlet politikası, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Sivil toplum,Democracy,"Sivil toplum perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Yolsuzluk,Coalition,"Yolsuzluk perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Çoğulculuk,Economic policy,"Çoğulculuk, günümüz siyasetinde bir dönüm noktasıdır."
Temsili demokrasi,Independence,"Temsili demokrasi, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Egemenlik,Public opinion,"Egemenlik, günümüz siyasetinde bir dönüm noktasıdır."
Bağımsızlık,Opposition,Bağımsızlık üzerine yoğun tartışmalar yaşanmaktadır.
Demokrasi,Reform,Demokrasi konusunda yapılan reformlar geniş yankı uyandırdı.
Hukukun üstünlüğü,Parliament,Hukukun üstünlüğü konusunda yapılan reformlar geniş yankı uyandırdı.
İnsan hakları,Diplomacy,İnsan hakları kavramı modern siyaset biliminin temelini oluşturur.
Anayasa,Civil society,"Anayasa, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Özgürlük,Judiciary,"Özgürlük, günümüz siyasetinde bir dönüm noktasıdır."
Siyaset,Sovereignty,Bir toplumun Siyaset ilkelerine bağlı olması önemlidir.
Diplomasi,Reform,"Diplomasi, günümüz siyasetinde bir dönüm noktasıdır."
Uluslararası ilişkiler,Public opinion,Bir toplumun Uluslararası ilişkiler ilkelerine bağlı olması önemlidir.
Meclis,Party discipline,Meclis üzerine yoğun tartışmalar yaşanmaktadır.
Reform,Independence,Reform kavramı modern siyaset biliminin temelini oluşturur.
Muhalefet,Election,"Muhalefet, günümüz siyasetinde bir dönüm noktasıdır."
İktidar,State policy,Bir toplumun İktidar ilkelerine bağlı olması önemlidir.
Seçim,Bureaucracy,Bir toplumun Seçim ilkelerine bağlı olması önemlidir.
Koalisyon,Representative democracy,Koalisyon kavramı modern siyaset biliminin temelini oluşturur.
Halk egemenliği,State policy,"Halk egemenliği, demokrasinin işleyişinde kritik bir rol oynar."
